mart_name,feature_name,dtype,business_definition,usage_notes
mart_customer_features,recency_days,int,Days between customer last completed order and anchor date.,Primary churn recency signal; higher often means higher churn risk.
mart_customer_features,online_order_share,float,Share of completed orders placed online.,Use with store_order_share and preferred_channel for channel strategy.
mart_campaign_response,response_flag_30d,int,Binary indicator of 30-day conversion after assignment.,Base target for campaign response and uplift baselines.
mart_campaign_response,pre_90d_revenue,float,Revenue generated by customer in 90 days before campaign assignment.,Use as pre-treatment baseline in uplift analyses.
mart_product_demand,units_sold,int,Total weekly units sold for product-location grain.,Primary target for forecasting module.
mart_product_demand,rolling_4w_avg_units,float,Four-week rolling average demand for product-location.,Useful lagged smoothed feature for baseline forecasting models.
mart_returns_risk,return_flag,int,Binary indicator that order item has an associated return.,Base supervised target for return risk modeling.
mart_returns_risk,prior_customer_return_rate,float,Historical return rate for customer before current item.,High-signal risk feature; monitor leakage windows carefully.
mart_recommendation_interactions,interaction_score,float,"Weighted implicit feedback score from purchases, events, and reviews.",Use for ranking candidates in recommendation baselines.
mart_recommendation_interactions,product_rank_for_customer,int,Rank of product by interaction score within customer history.,Useful for top-k recommendation evaluation and filters.
mart_store_week_performance,net_revenue,float,Weekly revenue at store-location grain.,Core metric for store performance and weekly planning.
mart_store_week_performance,rolling_4w_avg_revenue,float,Four-week rolling average of store revenue.,Supports trend analysis and anomaly detection baselines.
